reviewText,clean_reviewText,sentiment
"Rating: ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ The Hanes Men‚Äôs Pullover EcoSmart Hooded Sweatshirt is a great blend of comfort, durability, and sustainability. Made from a soft cotton-poly blend, this hoodie feels cozy without being too heavy, making it ideal for year-round wear",rating ‚òö‚òö‚òö‚òö‚òö the hanes men‚äôs pullover ecosmart hooded sweatshirt is a great blend of comfort durability and sustainability made from a soft cottonpoly blend this hoodie feels cozy without being too heavy making it ideal for yearround wear,1
"Shirts fit right, feel good and look good. My only complaint is there isn’t a way to tell the front from the back of the shirt. No makeimgs or tag inside the collar. Not a huge issue. Good value and are exactly what I wanted.",shirts fit right feel good and look good my only complaint is there isn’t a way to tell the front from the back of the shirt no makeimgs or tag inside the collar not a huge issue good value and are exactly what i wanted,1
Amazing pants for the spring and summer their very light so if you wanna wear some pants during spring-summer their amazing,amazing pants for the spring and summer their very light so if you wanna wear some pants during springsummer their amazing,1
"I can't find any faults in these loafers. They're very well made, comfortable, and very versatile. I noticed the tag on mine had some extra information on it about the Good Year soles and I found out that they're non-slip soles. That's just perfect for our Midwestern icy grounds. As I get older I'm leaning more towards buying more loafers than sneakers and these totally fit the bill. If I have any problems with these I might update my review in the future but so far I love them. Thank you!",i cant find any faults in these loafers theyre very well made comfortable and very versatile i noticed the tag on mine had some extra information on it about the good year soles and i found out that theyre nonslip soles thats just perfect for our midwestern icy grounds as i get older im leaning more towards buying more loafers than sneakers and these totally fit the bill if i have any problems with these i might update my review in the future but so far i love them thank you,1
"I often wear the white version of these socks, which are extremely well made, and these are those same socks but are colored.  The inside of these socks are fuzzy and consistent throughout, unlike cheaper socks that have lots of loose threads.  They are also designed to stretch over the top of the foot, giving a perfect fit.",i often wear the white version of these socks which are extremely well made and these are those same socks but are colored  the inside of these socks are fuzzy and consistent throughout unlike cheaper socks that have lots of loose threads  they are also designed to stretch over the top of the foot giving a perfect fit,1
These are the most comfortable pants I've ever had for work. Super stretchy and insanely soft. Almost like wearing sweat pants.Fit was perfect. Will buy again.,these are the most comfortable pants ive ever had for work super stretchy and insanely soft almost like wearing sweat pantsfit was perfect will buy again,1
Love the chest pocket.,love the chest pocket,1
"What a good deal these shirts are! We were expecting lower quality for that price, but no! These shirts are awesome. My husband wears them to go golfing, they are lightweight, don’t get stinky even when soaked with rain & sweat (Florida). Quality is more than acceptable, no need to iron as they are mostly wrinkle free. Size is true to size. We’ve been washing them a lot already and they retained their color and elasticity. So definitely good washability and wearability overall! We are super pleased and have already ordered another set!",what a good deal these shirts are we were expecting lower quality for that price but no these shirts are awesome my husband wears them to go golfing they are lightweight don’t get stinky even when soaked with rain  sweat florida quality is more than acceptable no need to iron as they are mostly wrinkle free size is true to size we’ve been washing them a lot already and they retained their color and elasticity so definitely good washability and wearability overall we are super pleased and have already ordered another set,1
"This dress is cute for a flowy, non-fitted dress. There are faded stripes on the solid print colored dresses, and I was not prepared for that. But it gives the dress a sort of vintage feel with the puffed sleeves. The fabric is definitely thinner, but it doesn’t feel cheap and it’s very comfortable and light. It is a little see through. I’m 5’5”, 130lbs and I got a size small. An XS wasn’t available, or I think I would have liked to of sized down. Overall, I think I’m happy with this dress. It really just depends on how you prefer your dress to fit, loose or fitted.",this dress is cute for a flowy nonfitted dress there are faded stripes on the solid print colored dresses and i was not prepared for that but it gives the dress a sort of vintage feel with the puffed sleeves the fabric is definitely thinner but it doesn’t feel cheap and it’s very comfortable and light it is a little see through i’m ’” lbs and i got a size small an xs wasn’t available or i think i would have liked to of sized down overall i think i’m happy with this dress it really just depends on how you prefer your dress to fit loose or fitted,1
Size right decent quality,size right decent quality,1
